species_name,Block!,Column!,Row!,Mother,Elevation,Treatment,Replicate!,Abbrev!,T_LL,T_DL,T_LC,Photo,Cond,Photo_D,Cond_D,area_mm2,SLA_cm_g:4,%N:1,date,date2
Oreomyrrhis eriopoda,1,5,d,1,LoElev,LoWat,9,oe1LoElev9,10,18,28,NA,NA,NA,NA,768,86.4865,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,1,9,d,1,LoElev,HiWat,10,oe1LoElev10,13,18,31,NA,NA,NA,NA,1043.788,85.2072,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,2,11,e,1,LoElev,HiWat,11,oe1LoElev11,12,11,23,NA,NA,NA,NA,955,92.6285,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,3,14,h,1,LoElev,LoWat,12,oe1LoElev12,14,20,34,NA,NA,NA,NA,NA,NA,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,3,4,d,1,LoElev,HiWat,x1,oe1LoElevx1,34,7,41,NA,NA,NA,NA,1169,101.0372,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,1,15,d,2,LoElev,LoWat,1,oe2LoElev1,14,6,20,NA,NA,NA,NA,1371,83.4957,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,2,7,a,2,LoElev,HiWat,2,oe2LoElev2,8,14,22,NA,NA,NA,NA,1126,97.828,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,2,10,a,2,LoElev,LoWat,3,oe2LoElev3,14,11,25,NA,NA,NA,NA,514,74.0634,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,1,4,h,2,LoElev,LoWat,4,oe2LoElev4,8,9,17,NA,NA,NA,NA,4162.3,278.6011,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,3,12,c,2,LoElev,HiWat,5,oe2LoElev5,39,36,75,NA,NA,NA,NA,1517,112.7881,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,3,3,d,2,LoElev,HiWat,6,oe2LoElev6,108,26,134,NA,NA,NA,NA,722,76.4831,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,2,1,g,2,LoElev,LoWat,7,oe2LoElev7,3,14,17,NA,NA,NA,NA,913,77.0464,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,1,7,g,2,LoElev,HiWat,8,oe2LoElev8,17,11,28,NA,NA,NA,NA,1256.435,88.9197,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,2,9,a,2,LoElev,HiWat,9,oe2LoElev9,35,11,46,NA,NA,NA,NA,268,14.9554,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,3,9,h,2,LoElev,LoWat,10,oe2LoElev10,11,18,29,NA,NA,NA,NA,NA,NA,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,1,3,h,2,LoElev,HiWat,11,oe2LoElev11,18,8,26,NA,NA,NA,NA,1471,69.7818,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,3,1,b,2,LoElev,LoWat,12,oe2LoElev12,64,8,72,NA,NA,NA,NA,1544,86.4018,NA,26-Nov-11,16-Dec-11
